/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-reset_tb.csv,row_average
4.289041996002197,4.27454137802124,4.210454940795898,4.329661846160889,4.291016578674316,4.2569580078125,4.261576175689697,4.216988563537598,4.258495330810547,4.301823616027832,4.2690558433532715
3.836226224899292,3.854164361953736,3.805194616317749,3.902472496032715,3.8665287494659424,3.874700546264648,4.261576175689697,3.8190758228302,3.815187454223633,3.863274574279785,3.88984010219574
3.601881980895996,3.5854532718658447,3.584630250930786,3.6235508918762207,3.6350326538085938,3.636519908905029,3.854667186737061,3.570868015289306,3.550039529800415,3.6177780628204346,3.6260421752929686
3.4316442012786865,3.3684327602386475,3.3786895275115967,3.414724349975586,3.440171003341675,3.4295637607574463,4.261576175689697,3.360805988311768,3.329385280609131,3.4141290187835693,3.48291220664978
3.2755727767944336,3.192954063415528,3.2039554119110107,3.215808391571045,3.2650959491729736,3.23962140083313,3.854667186737061,3.1884164810180664,3.1537044048309326,3.240647554397583,3.283044362068176
3.1293718814849854,3.0261731147766118,3.0510284900665283,3.0545568466186523,3.1058573722839355,3.073735475540161,3.617504119873047,3.028558254241944,2.9778339862823486,3.083559513092041,3.114817905426025
2.977541446685791,2.8851466178894043,2.911243200302124,2.896367311477661,2.958093643188477,2.916649103164673,3.421891927719116,2.887820243835449,2.8473870754241943,2.933876276016236,2.9636016845703126
2.85506272315979,2.747775077819824,2.789913892745972,2.7723701000213623,2.826776027679444,2.7846479415893555,3.2388358116149902,2.7601125240325928,2.728972911834717,2.8037638664245605,2.8308230876922607
2.7316927909851074,2.631484031677246,2.6777496337890625,2.655235290527344,2.706524133682251,2.6751701831817627,3.0861852169036865,2.641460418701172,2.6141788959503174,2.6907384395599365,2.7110419034957887
2.6181623935699463,2.5230090618133545,2.568697690963745,2.551365375518799,2.5992543697357178,2.5675625801086426,2.941917657852173,2.5291593074798584,2.523017406463623,2.584003210067749,2.600614905357361
2.515387773513794,2.4233152866363525,2.4808924198150635,2.443286657333374,2.511481285095215,2.462421417236328,2.8180031776428223,2.4278032779693604,2.4142017364501958,2.476780652999878,2.4973573684692383
2.4222137928009038,2.323570966720581,2.3743693828582764,2.360191822052002,2.410494327545166,2.364712238311768,2.707083940505981,2.3442978858947754,2.329270124435425,2.38320541381836,2.4019409894943236
2.334869384765625,2.2390637397766118,2.301074266433716,2.2920122146606445,2.322194814682007,2.285155296325684,2.608140230178833,2.2404606342315674,2.2454850673675537,2.302661180496216,2.317111682891846
2.2642364501953125,2.154250144958496,2.20632266998291,2.201901435852051,2.2433412075042725,2.192429304122925,2.495924472808838,2.1669538021087646,2.177612543106079,2.2204151153564453,2.232338714599609
2.183643579483032,2.0832302570343018,2.1415960788726807,2.117302656173706,2.162808656692505,2.119678735733032,2.4034273624420166,2.0978615283966064,2.0994017124176025,2.155433893203736,2.156438446044922
2.109853982925415,2.013998985290528,2.0685393810272217,2.049898386001587,2.1040310859680176,2.0504074096679688,2.32942008972168,2.011961936950684,2.0273988246917725,2.0807578563690186,2.084626793861389
2.037254810333252,1.945624828338623,2.0063302516937256,1.987349390983581,2.0252459049224854,1.991397738456726,2.248509168624878,1.9789490699768064,1.963306665420532,2.026244640350342,2.021021246910095
1.9766277074813845,1.886334776878357,1.9460772275924685,1.9342374801635744,1.9651648998260496,1.9267667531967163,2.176509380340576,1.9050424098968504,1.917863249778748,1.964422345161438,1.9599046230316162
1.9175584316253664,1.831465721130371,1.9022836685180664,1.8834519386291504,1.9133164882659912,1.8702679872512815,2.095435380935669,1.8574484586715696,1.857401967048645,1.9003826379776,1.9029012680053712
1.8677290678024288,1.7779321670532229,1.8433983325958248,1.8144460916519165,1.854952692985535,1.8159210681915283,2.034351348876953,1.807393193244934,1.813549757003784,1.8639830350875852,1.8493656754493712
1.8150898218154907,1.7345311641693115,1.7991551160812378,1.784304976463318,1.8008947372436523,1.76118004322052,1.9790514707565308,1.7628631591796875,1.7619086503982544,1.8053069114685056,1.800428605079651
1.7632335424423218,1.6839197874069214,1.742633581161499,1.7231149673461914,1.7650833129882812,1.7317994832992554,1.924219846725464,1.7153573036193848,1.721383571624756,1.7672944068908691,1.7538039803504943
1.7168205976486206,1.6503608226776123,1.7028250694274902,1.6820310354232788,1.7061831951141355,1.6692838668823242,1.8586888313293457,1.673631191253662,1.6868854761123655,1.7158080339431765,1.7062518119812011
1.68129301071167,1.6080632209777832,1.6574290990829468,1.6469476222991943,1.6694313287734983,1.6244428157806396,1.820189476013184,1.630573272705078,1.63844633102417,1.6689724922180176,1.6645788669586181
1.63435959815979,1.5748478174209597,1.6268893480300903,1.6174781322479248,1.6231964826583862,1.5928608179092407,1.760067343711853,1.609436273574829,1.6056830883026123,1.6305999755859375,1.6275418877601624
1.5974936485290527,1.542829513549805,1.6051654815673828,1.5775777101516724,1.594183087348938,1.5580129623413086,1.7226492166519165,1.562673807144165,1.5704725980758667,1.605696439743042,1.593675446510315
1.562217116355896,1.4960023164749146,1.5626450777053833,1.5371170043945312,1.5455466508865356,1.5174521207809448,1.6920822858810425,1.5349853038787842,1.532755970954895,1.5709646940231323,1.555176854133606
1.539750576019287,1.4755237102508545,1.5308985710144043,1.5105321407318115,1.5154058933258057,1.489605188369751,1.6424039602279663,1.4999668598175049,1.50209379196167,1.520512580871582,1.5226693272590637
1.5035603046417236,1.4552181959152222,1.5026434659957886,1.4775290489196775,1.488532781600952,1.4576165676116943,1.6213306188583374,1.4741945266723633,1.473718762397766,1.4969024658203125,1.4951246738433839
1.465337157249451,1.4200117588043213,1.474578857421875,1.4448174238204956,1.4436241388320925,1.4197256565093994,1.5776842832565308,1.4290138483047483,1.441909670829773,1.4601645469665527,1.4576867341995239
1.4381744861602783,1.3855479955673218,1.4454015493392944,1.427588701248169,1.4199936389923096,1.396576762199402,1.5442978143692017,1.4242769479751587,1.4139683246612549,1.423314929008484,1.4319141149520873
1.4060029983520508,1.3655294179916382,1.4160410165786743,1.3820046186447144,1.391250729560852,1.364958882331848,1.520333170890808,1.39598548412323,1.3972647190093994,1.398198485374451,1.4037569522857667
1.3915255069732666,1.3265740871429443,1.382803201675415,1.3567224740982056,1.3597972393035889,1.3387985229492188,1.4861692190170288,1.3560853004455566,1.3662840127944946,1.3768095970153809,1.37415691614151
1.3552117347717283,1.31315279006958,1.36419939994812,1.34112286567688,1.3393644094467163,1.315577507019043,1.4644206762313845,1.3431698083877563,1.337644338607788,1.3601698875427246,1.353403341770172
1.3278732299804688,1.2924312353134155,1.3452889919281006,1.3154168128967283,1.3111048936843872,1.300550103187561,1.421737790107727,1.3213300704956057,1.3266911506652832,1.3231490850448608,1.3285573363304137
1.3168730735778809,1.2670685052871704,1.318741798400879,1.2827221155166626,1.286628007888794,1.2784645557403564,1.4043413400650024,1.2917594909667969,1.2800509929656982,1.308112859725952,1.3034762740135193
1.29365074634552,1.2422170639038086,1.2940207719802856,1.2509169578552246,1.267933011054993,1.2400511503219604,1.368743896484375,1.2627335786819458,1.2891353368759155,1.263114094734192,1.277251660823822
1.2620078325271606,1.2249199151992798,1.2691375017166138,1.2383235692977903,1.2363570928573608,1.2299089431762695,1.3529052734375,1.2549902200698853,1.2434457540512085,1.2642934322357178,1.2576289534568788
1.2419192790985107,1.203135967254639,1.2377896308898926,1.2197043895721436,1.2212284803390503,1.209489107131958,1.3189716339111328,1.233503341674805,1.23405122756958,1.2258005142211914,1.2345593571662903
1.218461990356445,1.183080792427063,1.226412057876587,1.209004044532776,1.1982749700546265,1.1788969039916992,1.2992514371871948,1.2067832946777344,1.2031807899475098,1.2188235521316528,1.214216983318329
1.2038997411727903,1.1786341667175293,1.1962310075759888,1.173162579536438,1.1771823167800903,1.1696089506149292,1.273326396942139,1.1878682374954224,1.1948083639144895,1.186704158782959,1.1941425919532775
1.176187515258789,1.1563057899475098,1.1843632459640503,1.158398985862732,1.1640762090682983,1.1437432765960691,1.2524722814559937,1.1634187698364258,1.1730952262878418,1.176880121231079,1.174894142150879
1.1650912761688232,1.131342887878418,1.14520263671875,1.1378579139709473,1.1455804109573364,1.1229304075241089,1.2307281494140625,1.1511659622192385,1.149872064590454,1.1487678289413452,1.1528539538383484
1.1382280588150024,1.1112313270568848,1.1461315155029297,1.1317193508148191,1.1221435070037842,1.1036157608032229,1.215790867805481,1.133838415145874,1.1361950635910034,1.135214924812317,1.1374108791351318
1.122714638710022,1.0970475673675537,1.131334662437439,1.091413497924805,1.0999574661254885,1.085793137550354,1.1892945766448977,1.1169745922088623,1.118994951248169,1.1131662130355835,1.1166691303253173
1.1060643196105957,1.080614447593689,1.0840331315994265,1.086005449295044,1.0869280099868774,1.0790656805038452,1.1785708665847778,1.10903799533844,1.101937770843506,1.0985935926437378,1.101085126399994
1.0922940969467163,1.063927173614502,1.0935933589935305,1.066594123840332,1.0755741596221924,1.068792462348938,1.158719182014465,1.0774331092834473,1.0872668027877808,1.0896613597869873,1.0873855829238892
